"범죄별(1)","범죄별(2)","시점",발생지역별(1),데이터
"A/Bⅹ100,000 (건/10만명)","소계","2022",울산,1600.5
"A/Bⅹ100,000 (건/10만명)","소계","2022",세종,1800.6
"A/Bⅹ100,000 (건/10만명)","소계","2022",경기,2878.1
"A/Bⅹ100,000 (건/10만명)","소계","2022",강원,2996.3
"A/Bⅹ100,000 (건/10만명)","소계","2022",충북,2966.9
"A/Bⅹ100,000 (건/10만명)","소계","2022",충남,3194.9
"A/Bⅹ100,000 (건/10만명)","소계","2022",전북,3036.7
"A/Bⅹ100,000 (건/10만명)","소계","2022",전남,3385.9
"A/Bⅹ100,000 (건/10만명)","소계","2022",경북,3036.1
"A/Bⅹ100,000 (건/10만명)","소계","2022",경남,3398.5
